x coord, y coord, z coord
0.492837,0.0217217,0.0209839
0.535875,0.385492,0.385676
0.68583,0.171566,0.171402
0.235382,0.514197,0.514193
0.171058,0.406994,0.406861
0.0214605,0.492929,0.493193
0.514521,0.471427,0.471824
0.0856156,0.128423,0.129026
0.62097,0.342463,0.342833
0.150061,0.27892,0.278915
0.471893,0.0428387,0.042442
0.664122,0.450005,0.450333
0.536153,0.064449,0.0639606
0.599974,0.471824,0.471741
0.428488,0.128207,0.128574
0.578886,0.386081,0.386029
0.450155,0.278269,0.27818
0.214154,0.664361,0.66408
0.578604,0.0210176,0.0209951
0.17177,0.578471,0.578838
0.428821,0.343254,0.342809
0.257129,0.106854,0.107296
0.0645683,0.192912,0.193226
0.342782,0.300017,0.300283
0.407308,0.343217,0.342363
0.428656,0.0424126,0.0428331
0.0639396,0.55735,0.556959
0.364575,0.385773,0.385819
0.449784,0.107214,0.106649
0.257148,0.235523,0.235327
0.643161,0.320935,0.321304
0.278158,0.235796,0.2362
0.300394,0.364504,0.364124
0.214585,0.492817,0.492365
0.0214699,0.128154,0.128196
0.257287,0.578889,0.578828
0.53588,0.257537,0.257487
0.278358,0.364672,0.364376
0.449772,0.664145,0.664215
0.342854,0.4501,0.450206
0.0213062,0.299769,0.300389
0.235593,0.214159,0.21405
0.428103,0.599932,0.599844
0.171308,0.278683,0.278588
0.0429549,0.342865,0.342943
0.128593,0.450314,0.450105
0.128161,0.385454,0.38612
0.0857261,0.407338,0.406998
0.0852598,0.192935,0.192791
0.556968,0.578386,0.578924
0.621141,0.299791,0.299671
0.0638198,0.600419,0.599645
0.0858241,0.0860681,0.0860929
0.664035,0.106853,0.106709
0.278329,0.149946,0.150122
0.450281,0.342446,0.342471
0.364727,0.342433,0.34282
0.450069,0.36463,0.364435
0.171021,0.492762,0.493059
0.493127,0.578228,0.578449
0.34264,0.557553,0.557072
0.514024,0.364351,0.364352
0.107274,0.621486,0.621653
0.342886,0.535748,0.536187
0.0212456,0.620945,0.621715
0.342498,0.0643649,0.064521
0.578367,0.0428238,0.0424298
0.106873,0.0859711,0.0853222
0.685633,0.0210001,0.021327
0.106892,0.514568,0.514378
0.193144,0.0210123,0.0212861
0.321279,0.278133,0.278647
0.685225,0.492366,0.492821
0.106687,0.128513,0.128622
0.578225,0.128151,0.12863
0.23538,0.171369,0.171175
0.470947,0.407486,0.407504
0.514102,0.621043,0.621531
0.257593,0.51393,0.514383
0.513968,0.0212967,0.0211148
0.342589,0.321024,0.321431
0.257622,0.385492,0.385612
0.4499,0.514173,0.51386
0.514435,0.343041,0.342617
0.621242,0.0424632,0.0424133
0.385589,0.493313,0.493303
0.213869,0.364154,0.364124
0.278629,0.0644665,0.0643978
0.235341,0.299571,0.299533
0.235936,0.428423,0.42888
0.171672,0.149725,0.150427
