x coord, y coord, z coord
0.278351,0.21447,0.214002
0.621378,0.471608,0.471051
0.171612,0.17098,0.171821
0.34287,0.385487,0.385461
0.428819,0.0645493,0.0637855
0.642851,0.278181,0.278391
0.299967,0.0215068,0.0217301
0.364481,0.514138,0.51458
0.150016,0.128647,0.128965
0.064392,0.236064,0.235391
0.49249,0.4933,0.492365
0.0429115,0.492849,0.492469
0.0430272,0.128428,0.128551
0.514345,0.300192,0.300319
0.343073,0.235664,0.236039
0.68615,0.663934,0.663792
0.578864,0.621736,0.62106
0.27836,0.343284,0.342956
0.0210872,0.428612,0.428834
0.492448,0.578742,0.578472
0.214763,0.278671,0.278107
0.599583,0.471081,0.471219
0.428924,0.471108,0.471595
0.343163,0.0212501,0.021284
0.664469,0.257402,0.25742
0.642378,0.557005,0.557063
0.0856969,0.300327,0.299937
0.128969,0.0646786,0.064518
0.642668,0.536105,0.536046
0.34251,0.450236,0.449816
0.235844,0.149804,0.150013
0.428974,0.642575,0.642779
0.557152,0.0210393,0.0210952
0.193061,0.107604,0.107404
0.0641268,0.664272,0.66467
0.235509,0.450189,0.450358
0.278592,0.0641942,0.0638388
0.192514,0.406688,0.40701
0.578321,0.128385,0.128089
0.407469,0.128442,0.12808
0.343083,0.343307,0.343309
0.535527,0.57819,0.5783
0.386108,0.235337,0.235742
0.107634,0.192399,0.193158
0.471507,0.450366,0.449873
0.0862057,0.256965,0.256753
0.557028,0.621072,0.621247
0.300005,0.450468,0.449868
0.128942,0.0855389,0.0860858
0.664486,0.0860756,0.0855422
0.578709,0.514087,0.513963
0.364114,0.17176,0.171113
0.428841,0.150001,0.149653
0.171023,0.256932,0.257137
0.0218635,0.599509,0.599887
0.107385,0.299904,0.299752
0.385846,0.40724,0.40744
0.385362,0.321028,0.321269
0.600409,0.300283,0.29952
0.0639429,0.364012,0.36402
0.471791,0.0860285,0.0860793
0.193344,0.299664,0.299742
0.449862,0.170941,0.171062
0.149767,0.193278,0.19313
0.535843,0.150287,0.149757
0.193152,0.214709,0.21425
0.364017,0.578484,0.57831
0.578257,0.321788,0.321227
0.642751,0.471469,0.471169
0.578747,0.0211742,0.0210933
0.685513,0.0212619,0.0210047
0.27899,0.578905,0.57868
0.0425586,0.449984,0.449519
0.12838,0.192579,0.192877
0.0646597,0.299632,0.300264
0.278187,0.364249,0.364351
0.685475,0.0431668,0.0424398
0.621565,0.128622,0.128814
0.299764,0.107018,0.107599
0.406972,0.149998,0.150153
0.385995,0.300289,0.299672
0.149664,0.0433501,0.0429381
0.578235,0.364558,0.364543
0.17096,0.450107,0.450119
0.556815,0.45034,0.449606
0.600042,0.535443,0.535946
0.107181,0.0640405,0.0644598
0.407346,0.0425619,0.042709
0.278801,0.643207,0.642661
0.363919,0.0641317,0.0643126
0.149738,0.171809,0.171071
0.578637,0.47178,0.471067
0.321427,0.0642588,0.0638795
0.428684,0.406638,0.406654
0.55728,0.321109,0.321034
0.513921,0.17115,0.171836
0.128415,0.664153,0.663904
0.0214454,0.150477,0.149809
0.642422,0.449913,0.450468
0.343107,0.578963,0.578397
0.299502,0.0432393,0.0430763
0.128877,0.449556,0.44967
0.450287,0.642744,0.642809
0.620988,0.0860488,0.0854389
0.492647,0.0431886,0.0426387
0.428446,0.364212,0.364017
0.428471,0.599883,0.600223
0.129049,0.299746,0.300118
0.300482,0.492448,0.493014
0.514232,0.578458,0.578742
0.2573,0.300411,0.299921
0.66398,0.642452,0.642646
0.364463,0.128445,0.128424
0.536034,0.557399,0.557522
0.25747,0.42853,0.428643
0.620967,0.15031,0.150487
0.513998,0.385313,0.386001
0.171909,0.685681,0.685924
0.642709,0.0430625,0.0430883
0.364394,0.192435,0.193156
0.492361,0.364693,0.364286
0.449598,0.256708,0.256776
0.385731,0.0212582,0.0212853
0.642835,0.363828,0.364403
0.21417,0.492507,0.492387
0.171704,0.492528,0.492825
0.514703,0.0218106,0.0216477
0.342614,0.364175,0.364563
0.170993,0.128611,0.129044
